Id,Name,Code,City,Oceans insights code,Latitude,Longitude,Bigschedules,Created at,Updated at,Port type,Hub port,Ocean insights
2100,Sangachal,AZSAN,1495,,40.1645326,49.4628004,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2073,Sanremo,ITSRE,1468,,43.8159671,7.7760567,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2624,Sanshan (guangdong),CNSSH,1965,,23.0359055,113.2395204,P100,2007-06-30 12:11:55 +0200,2017-10-04 08:41:59 +0200,seaport,false,
1227,Sanshui,CNSJQ,646,,23.156045,112.896606,P101,2007-06-30 12:11:55 +0200,2017-09-04 16:29:00 +0200,seaport,false,
2273,Sant antoni,ESPNY,1669,,38.9826357,1.3015192,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1588,Santa Cruz,BOSRZ,995,"",-17.8145819,-63.1560853,P696,2007-06-30 12:11:55 +0200,2017-09-01 00:41:30 +0200,seaport,false,
1229,Santa Cruz De Tenerife,ESSCT,648,,28.4636296,-16.2518467,P794,2007-06-30 12:11:55 +0200,2017-09-02 20:29:16 +0200,seaport,false,
2748,Santa Maria Island,PTSMA,2084,,36.9788003,-25.1059054,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1230,Santa Marta,COSMR,649,,11.2403547,-74.2110227,P754,2007-06-30 12:11:55 +0200,2017-08-15 15:17:51 +0200,seaport,false,
1962,Santa barbara,USSBA,1357,,34.4208305,-119.6981901,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2532,Santa cruz de la palma,ESSCP,1875,,28.6839885,-17.7645747,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1975,Santander,ESSDR,1370,,43.4623057,-3.8099803,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2511,Santiago,CLSCL,1856,,-33.4488897,-70.6692655,P1561,2007-06-30 12:11:55 +0200,2017-07-04 12:58:07 +0200,seaport,false,
1231,Santiago De Cuba,CUSCU,650,,20.01693,-75.8301537,P759,2007-06-30 12:11:55 +0200,2017-12-16 19:13:46 +0100,seaport,false,
2519,Santo,VUSNT,1861,,-15.3003549,166.9182097,P2043,2007-06-30 12:11:55 +0200,2017-11-10 09:31:47 +0100,seaport,false,
1232,Santo Domingo,DOSDQ,651,,18.4860575,-69.9312117,P767,2007-06-30 12:11:55 +0200,2017-07-04 06:05:07 +0200,seaport,false,
1233,Santo Tomas De Castilla,GTSTC,652,,15.69018,-88.620407,P838,2007-06-30 12:11:55 +0200,2017-07-16 04:05:47 +0200,seaport,false,
1234,Santos,BRSSZ,653,,-23.9561304,-46.3264089,P29,2007-06-30 12:11:55 +0200,2017-08-08 20:23:28 +0200,seaport,false,
1676,Sanya,CNSYX,1072,,18.252847,109.511909,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2749,Sao Jorge Island,PTSJZ,2085,,38.6409678,-28.0303189,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2750,Sao Miguel,PTSMI,2086,,37.780411,-25.4970466,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1615,Sao Tome,STTMS,1013,,0.3301924,6.733343,P1066,2007-06-30 12:11:55 +0200,2017-08-21 14:14:55 +0200,seaport,false,
2743,Sao Vicente,CVVXE,2079,,16.8280067,-24.9754175,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2127,Sao francisco do sul,BRSFS,1522,,-26.2492482,-48.635372,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2503,Sao paulo terminal,BRCUK,1849,,-23.5162428,-46.6241421,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2109,Saratov,RURTW,1504,,51.5923654,45.9608032,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2525,Saskatoon sk,CASAS,1867,,52.1332144,-106.6700458,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2002,Sassnitz,DESAS,1397,,54.5159131,13.6331916,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2343,Sattahip,THSAT,1740,,12.6766338,100.8967847,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2186,Sault ste marie,CASSM,1582,,46.521858,-84.3460896,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
